.00079350,  100,.01522684,   10
    0.272727E+00    0.272727E+00   -0.636364E+00    0.190485E+02
    0.454545E+00    0.272727E+00   -0.636364E+00    0.191851E+02
    0.636364E+00    0.272727E+00   -0.636364E+00    0.194014E+02
    0.818182E+00    0.272727E+00   -0.636364E+00    0.196822E+02
    0.100000E+01    0.272727E+00   -0.636364E+00    0.200000E+02

   -0.100000E+01    0.454545E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00    0.454545E+00   -0.636364E+00    0.198329E+02
   -0.636364E+00    0.454545E+00   -0.636364E+00    0.196750E+02
   -0.454545E+00    0.454545E+00   -0.636364E+00    0.195362E+02
   -0.272727E+00    0.454545E+00   -0.636364E+00    0.194278E+02
   -0.909091E-01    0.454545E+00   -0.636364E+00    0.193609E+02
    0.909091E-01    0.454545E+00   -0.636364E+00    0.193440E+02
    0.272727E+00    0.454545E+00   -0.636364E+00    0.193817E+02
    0.454545E+00    0.454545E+00   -0.636364E+00    0.194742E+02
    0.636364E+00    0.454545E+00   -0.636364E+00    0.196164E+02
    0.818182E+00    0.454545E+00   -0.636364E+00    0.197974E+02
